target,INCOME_TYPE,EDUCATION_,CUSTOMER_CATEGORY_,income,DEPENDANT_NUMBER,IS_EMPL,COUNT_ACTIVE_CREDIT_NO_CC,CNT_MNTH_FROM_LAST_PMNT,age,experience,inquiry_14_day,inquiry_21_day,count_mnth_act_passport,UID
0,OTHER,elementary,,140000,0,0,0,34.218548387,38.497103077,4.0601092896,,,10.056007186,7
0,2NDFL,elementary,,56245,0,0,,,50.567123288,2.1315068493,,,5.5369863014,10
0,OTHER,elementary,Corporate,119510,0,1,1,1.1155689964,28.191780822,2.0328767123,1,1,8.1095890411,11
0,OTHER,advanced,Corporate,21611,0,1,,,33.333445617,1.711527809,,,7.9726775956,15
0,OTHER,elementary,Corporate,102915,0,1,2,1.174484767,54.064218879,1.4587394266,0,0,8.8888764129,21
0,OTHER,elementary,Corporate,183461,0,1,0,1.186984767,44.063013699,0.5121940265,1,1,2.6493150685,23
0,OTHER,elementary,Corporate,183461,0,1,0,1.186984767,44.063013699,0.5121940265,1,1,2.6493150685,24
0,2NDFL,elementary,Corporate,51581,0,1,,,29.050445393,0.5805000374,,,6.2,26
0,OTHER,elementary,Corporate,39713,0,1,0,1362.5046819,25.326611273,0.8484691968,1,1,5.2145894154,28
0,OTHER,elementary,Corporate,99370,0,1,0,,46.421483644,12.073770492,1,1,1.3940863837,30
0,OTHER,elementary,Corporate,102984,0,1,,,34.883928438,6.1195448761,,,1.7579010405,34
0,2NDFL,elementary,,97414,0,0,2,-0.59563172,32.515068493,10.178082192,1,1,3.6657534247,35
0,OTHER,advanced,,55000,0,0,0,4.1489023297,28.068306011,1.7447713152,0,0,8.0601092896,38
0,2NDFL,high,,27697,0,0,0,1.5057123656,26.873972603,3.5835616438,0,0,6.5726027397,39
0,2NDFL,elementary,,108000,0,0,0,1.1875,34.347945205,0.4401976196,1,1,11.304109589,48
0,OTHER,elementary,Corporate,102207,0,0,1,0.0489023297,34.24109589,8.8737405494,2,2,10.282191781,50
0,OTHER,elementary,Corporate,78017,0,1,0,,26.497986376,3.5683060109,0,0,3.5273224044,51
0,2NDFL,elementary,,,0,1,,,25.901369863,1.173291414,,,5.8684931507,53
0,OTHER,beginner,Corporate,83623,0,1,1,0.2176299283,28.965596227,3.7158469945,0,0,8.4207650273,56
0,2NDFL,elementary,,147900,0,0,,,37.890410959,8.0602739726,,,12.287671233,59
0,OTHER,elementary,Corporate,66175,0,1,0,7.5651433692,35.819672131,3.1020959653,0,0,10.773328842,66
0,2NDFL,elementary,,94288,0,0,0,7.5362231183,28.839553859,4.528078449,0,0,8.1287671233,75
0,OTHER,elementary,Corporate,44153,0,0,,,31.857534247,0.4273972603,,,8.9123287671,83
0,OTHER,advanced,Corporate,33699,0,1,1,1.2148073477,39.488397335,1.2883973351,0,0,10.176068568,85
0,2NDFL,advanced,,19323,0,0,2,0.7904121864,52.672131148,12.969945355,0,0,7.2329590538,95
0,2NDFL,advanced,,19323,0,0,2,0.7904121864,52.672131148,12.969945355,0,0,7.2329590538,97
0,OTHER,elementary,Corporate,221961,0,1,,,39.268493151,6.2465753425,,,10.775342466,98
0,OTHER,elementary,Corporate,37018,0,1,1,1.3049955197,34.575342466,2.2849315068,0,0,4.3448461711,114
0,2NDFL,elementary,,35865,0,0,1,0.469422043,31.871584699,6.0008832996,1,1,9.7789654914,117
0,OTHER,elementary,,150000,0,0,1,0.6687724014,29.592821319,2.9763829628,1,1,9.001040497,120
0,2NDFL,elementary,,36138,0,0,2,0.9825044803,32.265027322,10.066958605,0,0,9.9847668239,124
0,2NDFL,elementary,,144822,0,0,0,26.27672491,32.245901639,7.5926641216,0,0,7.1269106969,125
0,OTHER,elementary,Corporate,52199,0,1,1,2.3384856631,36.707650273,6.4442248671,0,0,11.548334456,127
0,2NDFL,elementary,,67475,0,0,,,40.084931507,6.2821917808,,,9.8741747137,129
0,OTHER,elementary,Corporate,71326,0,1,0,0.6380824373,28.240437158,1.0017366569,0,0,7.7786885246,136
0,2NDFL,elementary,,,0,1,6,0.3811827957,31.187341867,2.8558350176,0,0,7.9016393443,143
