;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
0;Форма банка (без печати работодателя);Отпуск;0.0;0.34;женский;0;0;высшее;специалист;>250;0.0;17.0;25.0;Финансы;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
1;Свободная форма с печатью работодателя;Обучение;1.0;0.32;женский;2;0;высшее;менеджер высшего звена;< 50;3.0;25.0;37.0;Другое;ООО;женат / замужем;2.0;2.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;2.0;0.0;5.0;2.0;0.0;0.0;3.0;31.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;Форма банка (без печати работодателя);Ремонт;0.0;0.39;мужской;1;0;*n.a.*;менеджер по продажам;>250;0.0;51.0;31.0;Торговля;ООО;разведен / разведена;2.0;1.0;1.0;0.0;0.0;0.0630630631;0.0;0.0;0.0;0.0;0.2;2.0;8.0;104.0;10.0;1.0;1.0;4.0;81.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
3;Поступление зарплаты на счет;Покупка автомобиля;0.0;0.28;мужской;1;0;высшее;специалист;>250;0.0;85.0;29.0;Другое;ООО;женат / замужем;0.0;0.0;0.0;0.0;0.0;0.0512820513;1.0;0.0;0.0;0.0;0.5;2.0;2.0;74.0;4.0;1.0;0.0;17.0;80.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
4;2НДФЛ;Покупка автомобиля;1.0;0.55;мужской;1;0;высшее;специалист;>250;3.0;52.0;25.0;Государственная служба;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
5;2НДФЛ;Покупка недвижимости/ строительство;1.0;0.59;женский;0;0;незаконченное высшее;вспомогательный персонал;>250;3.0;65.0;26.0;Наука;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
6;Поступление зарплаты на счет;Покупка автомобиля;1.0;0.18;мужской;0;0;второе высшее;специалист;>250;1.0;10.0;25.0;Другое;ЗАО;холост / не замужем;2.0;2.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;12.0;2.0;0.0;0.0;12.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7;Поступление зарплаты на счет;Ремонт;1.0;0.44;женский;0;0;высшее;специалист;>100;unknown;-1.0;-1.0;unknown;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
8;2НДФЛ;Покупка недвижимости/ строительство;1.0;0.49;мужской;0;0;среднее-специальное;вспомогательный персонал;>250;3.0;31.0;45.0;Производство;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
9;Поступление зарплаты на счет;Отпуск;1.0;0.17;мужской;0;0;высшее;специалист;>250;0.0;55.0;28.0;Другое;ООО;женат / замужем;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1666666667;1.0;5.0;56.0;6.0;1.0;1.0;12.0;45.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10;Поступление зарплаты на счет;Ремонт;1.0;0.53;мужской;0;0;среднее-специальное;вспомогательный персонал;>250;1.0;148.0;51.0;Другое;ООО;женат / замужем;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;4.0;1.0;134.0;5.0;2.0;0.0;28.0;77.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
11;Форма банка (без печати работодателя);Покупка автомобиля;1.0;0.58;женский;0;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>250;0.0;34.0;51.0;Государственная служба;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
12;Свободная форма с печатью работодателя;Покупка автомобиля;1.0;0.35;мужской;0;0;высшее;рабочий;>=200;unknown;-1.0;-1.0;unknown;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
13;Поступление зарплаты на счет;Ремонт;0.0;0.46;мужской;0;0;высшее;менеджер среднего звена;>250;0.0;143.0;46.0;Торговля;ОАО;женат / замужем;2.0;1.0;0.0;0.0;0.0;0.0397350993;1.0;0.0;0.0;0.0;0.5;2.0;2.0;145.0;4.0;1.0;1.0;34.0;91.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
14;Форма банка (без печати работодателя);Другое;1.0;0.22;женский;1;0;высшее;специалист;>250;0.0;84.0;33.0;Финансы;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
15;Поступление зарплаты на счет;Ремонт;1.0;0.49;мужской;0;0;высшее;вспомогательный персонал;>250;0.0;80.0;39.0;Торговля;ООО;холост / не замужем;2.0;0.0;0.0;0.0;0.0;0.14238410599999998;1.0;2.0;0.0;0.0;0.4;6.0;9.0;259.0;15.0;5.0;6.0;5.0;99.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
16;Поступление зарплаты на счет;Ремонт;0.0;0.47;мужской;0;0;высшее;торговый представитель;>250;1.0;44.0;26.0;Другое;ЗАО;женат / замужем;0.0;0.0;0.0;0.0;0.0;0.06;0.0;1.0;0.0;0.0;0.4;2.0;3.0;47.0;5.0;1.0;0.0;5.0;82.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
17;Форма банка (без печати работодателя);Ремонт;1.0;0.15;мужской;2;0;высшее;менеджер высшего звена;>=50;unknown;-1.0;-1.0;unknown;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
18;Поступление зарплаты на счет;Покупка недвижимости/ строительство;0.0;0.57;женский;0;0;среднее-специальное;специалист;>250;0.0;92.0;36.0;Другое;ООО;женат / замужем;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;1.0;1.0;43.0;2.0;0.0;0.0;21.0;34.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19;Поступление зарплаты на счет;Другое;1.0;0.12;женский;0;0;высшее;специалист;>250;0.0;18.0;25.0;Производство;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
20;Форма банка (без печати работодателя);Отпуск;0.0;0.39;мужской;1;0;высшее;менеджер высшего звена;< 50;0.0;36.0;34.0;Информационные технологии;ООО;повторный брак;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;1.0;4.0;106.0;5.0;0.0;0.0;55.0;77.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
